x,y,Score
34.0944,-118.3441,9
34.113,-118.3867,4
34.098,-118.3353,7
34.2473,-118.5771,4
34.2337,-118.5361,4
34.2502,-118.4921,4
34.244,-118.5583,8
34.2582,-118.535,4
34.2486,-118.5216,3
34.275,-118.5543,6
34.2648,-118.4957,4
34.25,-118.5973,2
34.2936,-118.508,4
34.2219,-118.523,7
34.2422,-118.4897,2
34.2355,-118.5536,9
34.32,-118.4967,3
34.0944,-118.3277,4
34.098,-118.3223,4
34.1016,-118.3361,7
34.1016,-118.3414,2
33.7639,-118.2934,3
33.7243,-118.2963,5
33.8524,-118.2924,4
33.7388,-118.2814,7
33.7278,-118.3143,7
33.7424,-118.2804,2
33.8561,-118.3035,4
33.7434,-118.3043,1
33.7865,-118.2737,5
33.7324,-118.2857,7
33.7757,-118.2608,3
33.7289,-118.2846,4
33.7882,-118.2999,1
33.7152,-118.2916,3
33.7833,-118.2527,5
33.7245,-118.3175,6
33.7845,-118.302,9
33.7793,-118.248,4
33.7854,-118.245,9
33.7873,-118.2451,9
34.0695,-118.2116,1
34.0695,-118.2116,1
34.0702,-118.22,4
34.0434,-118.2068,7
34.0328,-118.1993,3
34.081,-118.2076,6
34.0459,-118.2058,3
34.0401,-118.2106,4
34.0282,-118.2147,6
34.0806,-118.2176,4
34.0459,-118.2058,5
34.0806,-118.2176,4
34.0793,-118.2132,2
34.1014,-118.1871,7
34.066,-118.2168,6
34.0339,-118.2012,3
34.0591,-118.1965,6
34.0287,-118.1999,3
34.0704,-118.2025,3
34.066,-118.2062,6
34.0139,-118.2076,8
34.0685,-118.201,3
34.0421,-118.206,5
34.0165,-118.2064,7
34.0444,-118.1999,5
34.0663,-118.1819,3
34.0627,-118.1869,3
34.0798,-118.2184,5
34.0497,-118.1961,9
34.0335,-118.2821,3
34.0268,-118.3571,4
34.0181,-118.3601,4
34.0261,-118.2773,4
34.0108,-118.3193,3
34.0274,-118.285,7
34.016,-118.3473,5
34.0064,-118.2915,5
34.0217,-118.3711,4
34.0109,-118.2915,5
34.0073,-118.298,6
34.0138,-118.3465,3
34.0309,-118.3152,9
34.0209,-118.3406,3
34.0146,-118.3213,7
34.0105,-118.3398,6
34.0242,-118.3722,6
34.0282,-118.276,2
34.0215,-118.2868,3
34.0124,-118.3351,3
34.0261,-118.2959,4
34.0124,-118.3351,7
34.0229,-118.3189,5
34.0613,-118.2689,3
34.0857,-118.2812,3
34.0649,-118.2797,2
34.0657,-118.268,4
34.0524,-118.2678,3
34.0594,-118.2832,8
34.0634,-118.263,6
34.0818,-118.2856,7
34.0777,-118.2982,6
34.0856,-118.3005,6
34.0594,-118.261,9
34.0567,-118.2815,1
34.065,-118.2666,9
34.065,-118.2666,9
34.058,-118.2759,9
34.0531,-118.2671,9
34.0462,-118.2628,5
34.0452,-118.2569,5
34.0473,-118.2566,7
34.0493,-118.2418,2
34.0481,-118.2507,1
34.0481,-118.2507,1
34.0563,-118.2374,4
34.0563,-118.2374,9
34.0431,-118.2692,8
34.0396,-118.2671,6
34.0522,-118.2538,3
34.0382,-118.2665,5
34.0522,-118.2434,3
34.0472,-118.2326,3
34.0423,-118.2561,4
34.0517,-118.2491,6
34.0364,-118.2406,7
34.0417,-118.2443,4
34.0467,-118.2485,10
34.0503,-118.2504,6
34.0483,-118.2631,5
33.9673,-118.2943,4
33.9795,-118.2838,3
33.989,-118.3308,9
33.9817,-118.3294,3
33.9921,-118.298,3
33.9654,-118.2739,3
33.9708,-118.2827,4
33.9708,-118.2827,4
33.9892,-118.3089,9
33.9842,-118.3002,7
33.9932,-118.3002,7
33.96,-118.3003,3
33.9616,-118.2782,9
34.1036,-118.2874,8
34.1203,-118.2384,7
34.1293,-118.219,6
34.1093,-118.1876,4
34.0982,-118.294,8
34.1204,-118.2712,9
34.1232,-118.216,2
34.1261,-118.2142,7
34.1238,-118.1964,1
34.1237,-118.2215,7
34.0933,-118.223,6
34.1074,-118.1978,5
34.0982,-118.2918,3
34.1391,-118.226,7
34.1032,-118.2774,7
34.1074,-118.2003,4
34.1054,-118.2863,7
34.1111,-118.1958,3
34.1111,-118.1958,3
34.104,-118.1919,5
34.2048,-118.5099,4
34.1613,-118.4917,3
34.1698,-118.5308,8
34.1675,-118.5226,4
34.2148,-118.5404,3
34.1695,-118.5405,4
34.1976,-118.4749,4
34.1724,-118.536,3
34.1866,-118.536,3
34.1564,-118.4836,7
34.1687,-118.5359,6
34.169,-118.5273,3
34.2047,-118.5531,4
34.221,-118.4989,3
34.2147,-118.5142,9
34.204,-118.5451,3
34.2084,-118.5099,1
34.1939,-118.5011,6
34.2147,-118.5142,9
34.2085,-118.4749,4
34.1994,-118.4837,7
34.1598,-118.5033,9
34.1576,-118.438,7
34.183,-118.4704,7
34.1939,-118.4444,8
34.174,-118.429,6
34.1867,-118.429,4
34.2048,-118.4531,4
34.1663,-118.4486,4
34.1684,-118.4443,6
34.189,-118.4236,6
34.1561,-118.4542,4
34.1686,-118.4443,6
34.1507,-118.4422,6
34.1887,-118.4465,2
34.1758,-118.4662,7
34.1903,-118.4574,6
34.203,-118.4662,3
34.1857,-118.4444,9
34.1548,-118.4443,1
34.0435,-118.394,8
34.0473,-118.4206,4
34.0438,-118.456,8
34.0531,-118.468,3
34.0609,-118.4358,6
34.0486,-118.4727,6
34.0568,-118.4247,6
34.0594,-118.3814,8
34.0524,-118.4484,6
34.0594,-118.3824,4
34.0353,-118.4571,3
34.058,-118.439,3
34.1046,-118.4883,7
34.0385,-118.4408,3
34.0124,-118.3378,6
34.0495,-118.2494,3
34.0426,-118.2412,9
34.043,-118.242,4
34.0445,-118.2523,4
34.0396,-118.259,1
34.0412,-118.2436,3
34.0578,-118.252,6
34.043,-118.2606,7
33.951,-118.2781,4
33.947,-118.2684,6
34.2811,-118.5044,4
33.9765,-118.2803,6
34.1728,-118.5447,8
34.1667,-118.5243,9
