x,y,Amount
34.0973365,-118.287285,873
34.0887575,-118.288114,810
34.085129,-118.2880925,881
34.0872185,-118.296096,901
34.0871475,-118.304811,1008
34.0877515,-118.3035155,986
34.0871295,-118.315709,801
34.0887225,-118.3124455,867
34.088927,-118.327716,933
34.0852895,-118.3276995,941
34.0907325,-118.3386055,1185
34.0836865,-118.338593,1628
34.084605,-118.3484225,1416
34.083696,-118.355049,1469
34.079664,-118.3286955,1275
34.079853,-118.3180955,1115
34.07987,-118.311338,1111
34.07989,-118.3068095,1067
34.079912,-118.302506,960
34.0818485,-118.296073,1025
34.0776705,-118.296054,826
34.0799595,-118.2880545,906
34.113159,-118.352492,1397
34.116151,-118.365906,1355
34.1037495,-118.3746145,2000
34.102775,-118.3877725,2000
34.08455,-118.3641455,1253
34.0851935,-118.3719725,1710
34.079028,-118.370116,1577
34.1005075,-118.268184,1154
34.1079075,-118.2783115,1255
34.102058,-118.279132,1628
34.098795,-118.285197,1019
34.089784,-118.274927,1124
34.089488,-118.2664995,1331
34.0810905,-118.266765,912
34.0748915,-118.2684815,858
34.0738655,-118.2637,1058
34.0756415,-118.2780525,958
34.0824335,-118.277218,888
34.0790005,-118.2729125,1008
34.0880975,-118.2816585,977
34.08661,-118.279689,1031
34.080591,-118.2818,998
34.0898635,-118.2358515,939
34.0815145,-118.2517655,1056
34.094369,-118.2512135,1266
34.082834,-118.2561185,912
34.0729805,-118.256785,1094
34.0683535,-118.251864,898
34.068935,-118.2444855,869
34.081284,-118.21934,875
34.0797765,-118.197148,810
34.0713815,-118.200508,810
34.076463,-118.211518,903
34.0810735,-118.2029945,802
34.0915875,-118.2007585,907
34.0875695,-118.209014,900
34.0679435,-118.221008,968
34.070658,-118.2103495,829
34.0639545,-118.2104575,719
34.095485,-118.1746015,888
34.094111,-118.1626205,925
34.0890575,-118.177957,1005
34.088628,-118.187094,880
34.098103,-118.1841585,1513
34.0809785,-118.18591,864
34.0686905,-118.188445,906
34.0872435,-118.1663745,975
34.0853625,-118.1734105,917
34.0810995,-118.1730255,879
34.071752,-118.17646,1406
34.075975,-118.168817,1027
34.068283,-118.1738345,953
34.059408,-118.197818,693
34.0517485,-118.1981725,876
34.059558,-118.205929,996
34.0549495,-118.2212065,749
